gvkey,fyear,at,ebit,ebitda,ni,ppent,sale,naics
001004,2017.0,1524.7,86.0,126.5,15.6,316.6,1748.3,423860
001045,2017.0,51396.0,4792.0,6809.0,1919.0,34156.0,42207.0,481111
001050,2017.0,438.549,11.977,28.065,-3.029,23.4,345.051,333413
001062,2017.0,245.562,-1.67,-1.667,1.744,0.0,1.408,523999
001062,2017.0,245.562,,,,0.0,,523999
001072,2017.0,2672.766,182.534,242.353,4.91,418.286,1562.474,334416
001075,2017.0,17019.082,934.427,1468.545,488.456,13188.077,3565.296,2211
001076,2017.0,2692.264,275.534,1806.737,292.536,1343.522,3383.708,522220
001078,2017.0,76250.0,3996.0,7017.0,477.0,7607.0,27390.0,334510
001084,2017.0,0.184,-3.023,-3.023,-2.747,0.0,0.0,519130
001094,2017.0,1038.185,44.426,68.18,11.376,10.428,638.318,424690
001096,2017.0,10111.986,458.146,489.014,310.12,9336.508,1113.774,5311
001097,2017.0,66.316,0.812,1.007,0.316,4.705,3.701,524126
001104,2017.0,114.73,7.796,10.691,4.052,13.728,130.55,332215
001117,2017.0,42.801,-1.101,-0.159,-3.626,2.201,39.395,334220
001119,2017.0,,,,,,,525990
001121,2017.0,282.704,1.502,15.101,-0.482,29.362,1322.06,424720
001161,2017.0,3540.0,152.0,229.0,43.0,261.0,5329.0,334413
001166,2017.0,2617.431,137.014,194.204,543.878,163.91,886.503,333242
001177,2017.0,55151.0,,,,586.0,,524114
001177,2017.0,55151.0,5038.0,5428.0,1904.0,586.0,60447.0,524114
001186,2017.0,7865.601,413.056,928.248,243.887,5626.552,2242.604,212221
001209,2017.0,18467.2,1660.8,2526.6,3000.4,8440.2,8187.6,325120
001210,2017.0,97.147,4.246,6.925,2.277,20.273,194.519,492110
001224,2017.0,1643.0,105.8,155.7,58.1,1056.0,400.5,221210
001225,2017.0,23864.0,1714.0,2450.0,866.0,19010.0,6039.0,2211
001230,2017.0,10740.0,1378.0,1750.0,1034.0,6284.0,7933.0,481111
001234,2017.0,203.78,41.274,49.951,36.593,66.369,146.595,339112
001254,2017.0,2247.5,121.2,219.3,232.0,1165.7,2046.9,483113
001257,2017.0,1632.395,,,,0.0,,531120
001257,2017.0,1632.395,105.27,105.27,80.509,0.0,230.574,531120
001262,2017.0,1100.29,44.418,92.935,56.195,791.804,451.05,483113
001266,2017.0,419.182,-5.898,9.328,-9.451,349.337,129.829,111310
001272,2017.0,0.0,-0.004,-0.004,-0.004,0.0,0.0,447110
001274,2017.0,25384.317,,,,125.337,,524126
001274,2017.0,25384.317,118.16,253.189,90.133,125.337,6423.055,524126
001300,2017.0,59387.0,8122.0,9237.0,1655.0,5926.0,40534.0,336413
001327,2017.0,4573.6,1257.7,1512.5,1010.2,882.3,3651.4,334413
001352,2017.0,,,,,,,525910
001380,2017.0,23112.0,-5392.0,-2185.0,-4074.0,16192.0,5466.0,2111
001388,2017.0,60012.0,4747.0,6711.0,1922.0,33862.0,42195.0,481111
