,PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
80206,10495,7/31/1962,A,ANACONDA CO,40.375,852,0.003106
80207,10495,8/31/1962,A,ANACONDA CO,40.875,967,0.024768
80208,10495,9/28/1962,A,ANACONDA CO,37,1525,-0.094801
80209,10495,10/31/1962,A,ANACONDA CO,38.25,1396,0.033784
80210,10495,11/30/1962,A,ANACONDA CO,41.75,1895,0.117647
80211,10495,12/31/1962,A,ANACONDA CO,40.5,1621,-0.02994
80212,10495,1/31/1963,A,ANACONDA CO,46.5,1812,0.148148
80213,10495,2/28/1963,A,ANACONDA CO,45.125,1342,-0.02957
80214,10495,3/29/1963,A,ANACONDA CO,44.75,901,0.00277
80215,10495,4/30/1963,A,ANACONDA CO,47.75,1470,0.067039
80216,10495,5/31/1963,A,ANACONDA CO,52.5,2682,0.109948
80217,10495,6/28/1963,A,ANACONDA CO,50.25,2028,-0.042857
80218,10495,7/31/1963,A,ANACONDA CO,46.625,1095,-0.072139
80219,10495,8/30/1963,A,ANACONDA CO,50,1251,0.08311
80220,10495,9/30/1963,A,ANACONDA CO,48.375,1638,-0.0325
80221,10495,10/31/1963,A,ANACONDA CO,48.625,1419,0.005168
80222,10495,11/29/1963,A,ANACONDA CO,45.75,1171,-0.059126
80223,10495,12/31/1963,A,ANACONDA CO,46.75,2409,0.043716
80224,10495,1/31/1964,A,ANACONDA CO,45.375,2399,-0.029412
80225,10495,2/28/1964,A,ANACONDA CO,48.125,1124,0.060606
80226,10495,3/31/1964,A,ANACONDA CO,46.25,2557,-0.028571
80227,10495,4/30/1964,A,ANACONDA CO,44,5422,-0.048649
80228,10495,5/28/1964,A,ANACONDA CO,3,1666,-0.028409
80229,10495,6/30/1964,A,ANACONDA CO,44.5,2177,0.052632
80230,10495,7/31/1964,A,ANACONDA CO,45,2342,0.011236
80231,10495,8/31/1964,A,ANACONDA CO,45.75,2392,0.016667
80232,10495,9/30/1964,A,ANACONDA CO,53.5,8709,0.180328
80233,10495,10/30/1964,A,ANACONDA CO,56.5,3702,0.056075
80234,10495,11/30/1964,A,ANACONDA CO,55.75,2664,-0.013274
80235,10495,12/31/1964,A,ANACONDA CO,52.25,3054,-0.044843
80236,10495,1/29/1965,A,ANACONDA CO,60.5,4337,0.157895
80237,10495,2/26/1965,A,ANACONDA CO,63,3280,0.041322
80238,10495,3/31/1965,A,ANACONDA CO,61,2349,-0.019841
80239,10495,4/30/1965,A,ANACONDA CO,65,2354,0.065574
80240,10495,5/28/1965,A,ANACONDA CO,68,2899,0.046154
80241,10495,6/30/1965,A,ANACONDA CO,60.875,4060,-0.090074
80242,10495,7/30/1965,A,ANACONDA CO,66.75,2001,0.096509
80243,10495,8/31/1965,A,ANACONDA CO,64.625,3183,-0.031835
80244,10495,9/30/1965,A,ANACONDA CO,74,4279,0.160542
80245,10495,10/29/1965,A,ANACONDA CO,83.875,4378,0.133446
80246,10495,11/30/1965,A,ANACONDA CO,81,3588,-0.022355
80247,10495,12/31/1965,A,ANACONDA CO,80.625,2129,-0.00463
80248,10495,1/31/1966,A,ANACONDA CO,97,3835,0.203101
80249,10495,2/28/1966,A,ANACONDA CO,91.625,2024,-0.055412
80250,10495,3/31/1966,A,ANACONDA CO,87.375,2989,-0.035471
80251,10495,4/29/1966,A,ANACONDA CO,94.5,5084,0.081545
80252,10495,5/31/1966,A,ANACONDA CO,85.5,4601,-0.095238
