Category: All categories

Month,climate change: (United States)
2004-01,2
2004-02,4
2004-03,3
2004-04,2
2004-05,2
2004-06,2
2004-07,2
2004-08,1
2004-09,2
2004-10,2
2004-11,3
2004-12,2
2005-01,2
2005-02,3
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,1
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,2
2006-03,2
2006-04,3
2006-05,3
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,3
2006-11,3
2006-12,3
2007-01,4
2007-02,6
2007-03,5
2007-04,6
2007-05,5
2007-06,3
2007-07,3
2007-08,3
2007-09,4
2007-10,5
2007-11,6
2007-12,5
2008-01,4
2008-02,5
2008-03,5
2008-04,6
2008-05,5
2008-06,4
2008-07,3
2008-08,2
2008-09,4
2008-10,5
2008-11,5
2008-12,4
2009-01,4
2009-02,5
2009-03,5
2009-04,6
2009-05,5
2009-06,5
2009-07,4
2009-08,3
2009-09,5
2009-10,7
2009-11,7
2009-12,9
2010-01,5
2010-02,6
2010-03,5
2010-04,6
2010-05,5
2010-06,3
2010-07,2
2010-08,2
2010-09,3
2010-10,4
2010-11,4
2010-12,4
2011-01,3
2011-02,4
2011-03,4
2011-04,4
2011-05,4
2011-06,3
2011-07,2
2011-08,2
2011-09,3
2011-10,4
2011-11,4
2011-12,4
2012-01,3
2012-02,4
2012-03,4
2012-04,4
2012-05,3
2012-06,2
2012-07,3
2012-08,2
2012-09,3
2012-10,4
2012-11,5
2012-12,4
2013-01,3
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,3
2013-07,2
2013-08,3
2013-09,4
2013-10,4
2013-11,5
2013-12,4
2014-01,4
2014-02,5
2014-03,5
2014-04,7
2014-05,8
2014-06,4
2014-07,3
2014-08,3
2014-09,7
2014-10,5
2014-11,6
2014-12,5
2015-01,4
2015-02,6
2015-03,7
2015-04,8
2015-05,7
2015-06,5
2015-07,4
2015-08,4
2015-09,7
2015-10,7
2015-11,9
2015-12,11
2016-01,6
2016-02,7
2016-03,8
2016-04,9
2016-05,8
2016-06,4
2016-07,3
2016-08,3
2016-09,6
2016-10,8
2016-11,13
2016-12,9
2017-01,11
2017-02,9
2017-03,10
2017-04,11
2017-05,10
2017-06,12
2017-07,5
2017-08,5
2017-09,10
2017-10,7
2017-11,8
2017-12,7
2018-01,7
2018-02,7
2018-03,7
2018-04,8
2018-05,7
2018-06,4
2018-07,3
2018-08,4
2018-09,6
2018-10,11
2018-11,11
2018-12,9
2019-01,8
2019-02,11
2019-03,12
2019-04,13
2019-05,14
2019-06,8
2019-07,6
2019-08,8
2019-09,21
2019-10,14
2019-11,13
2019-12,11
2020-01,12
2020-02,12
2020-03,8
2020-04,9
2020-05,8
2020-06,5
2020-07,4
2020-08,5
2020-09,14
2020-10,10
2020-11,8
2020-12,6
2021-01,6
2021-02,8
2021-03,7
2021-04,8
2021-05,7
2021-06,5
2021-07,6
2021-08,7
2021-09,8
2021-10,8
2021-11,9
2021-12,7
2022-01,7
2022-02,9
2022-03,10
2022-04,100
2022-05,15
2022-06,7
2022-07,7
2022-08,8
2022-09,11
2022-10,11
2022-11,12
2022-12,9
2023-01,9
2023-02,11
2023-03,11
2023-04,49
2023-05,12
2023-06,7
2023-07,7
2023-08,8
2023-09,10
2023-10,11
