Category: All categories

Month,Sea Level: (United States)
2004-01,23
2004-02,20
2004-03,22
2004-04,25
2004-05,26
2004-06,20
2004-07,17
2004-08,23
2004-09,49
2004-10,24
2004-11,27
2004-12,27
2005-01,30
2005-02,25
2005-03,26
2005-04,24
2005-05,26
2005-06,23
2005-07,21
2005-08,60
2005-09,100
2005-10,33
2005-11,27
2005-12,24
2006-01,25
2006-02,34
2006-03,31
2006-04,31
2006-05,27
2006-06,24
2006-07,28
2006-08,26
2006-09,26
2006-10,27
2006-11,26
2006-12,26
2007-01,30
2007-02,33
2007-03,27
2007-04,33
2007-05,25
2007-06,23
2007-07,18
2007-08,20
2007-09,28
2007-10,29
2007-11,29
2007-12,25
2008-01,25
2008-02,26
2008-03,26
2008-04,28
2008-05,25
2008-06,20
2008-07,19
2008-08,20
2008-09,32
2008-10,25
2008-11,24
2008-12,24
2009-01,22
2009-02,28
2009-03,28
2009-04,28
2009-05,25
2009-06,21
2009-07,18
2009-08,20
2009-09,25
2009-10,26
2009-11,26
2009-12,26
2010-01,23
2010-02,29
2010-03,23
2010-04,27
2010-05,24
2010-06,19
2010-07,18
2010-08,17
2010-09,24
2010-10,23
2010-11,23
2010-12,21
2011-01,24
2011-02,29
2011-03,34
2011-04,28
2011-05,27
2011-06,22
2011-07,20
2011-08,34
2011-09,27
2011-10,27
2011-11,27
2011-12,23
2012-01,23
2012-02,28
2012-03,31
2012-04,30
2012-05,25
2012-06,26
2012-07,24
2012-08,28
2012-09,29
2012-10,41
2012-11,35
2012-12,27
2013-01,27
2013-02,30
2013-03,29
2013-04,30
2013-05,28
2013-06,25
2013-07,24
2013-08,25
2013-09,30
2013-10,31
2013-11,31
2013-12,27
2014-01,28
2014-02,31
2014-03,27
2014-04,31
2014-05,41
2014-06,26
2014-07,25
2014-08,24
2014-09,34
2014-10,31
2014-11,30
2014-12,29
2015-01,30
2015-02,33
2015-03,33
2015-04,34
2015-05,36
2015-06,27
2015-07,32
2015-08,31
2015-09,34
2015-10,38
2015-11,35
2015-12,37
2016-01,30
2016-02,36
2016-03,38
2016-04,38
2016-05,35
2016-06,28
2016-07,27
2016-08,34
2016-09,37
2016-10,39
2016-11,37
2016-12,32
2017-01,31
2017-02,34
2017-03,37
2017-04,40
2017-05,36
2017-06,33
2017-07,30
2017-08,51
2017-09,91
2017-10,35
2017-11,36
2017-12,29
2018-01,32
2018-02,37
2018-03,36
2018-04,42
2018-05,37
2018-06,31
2018-07,32
2018-08,30
2018-09,47
2018-10,36
2018-11,38
2018-12,33
2019-01,36
2019-02,43
2019-03,38
2019-04,40
2019-05,40
2019-06,35
2019-07,34
2019-08,37
2019-09,50
2019-10,39
2019-11,35
2019-12,33
2020-01,37
2020-02,36
2020-03,28
2020-04,35
2020-05,32
2020-06,26
2020-07,27
2020-08,33
2020-09,48
2020-10,38
2020-11,31
2020-12,29
2021-01,28
2021-02,33
2021-03,36
2021-04,36
2021-05,34
2021-06,32
2021-07,34
2021-08,37
2021-09,38
2021-10,34
2021-11,35
2021-12,34
2022-01,35
2022-02,45
2022-03,49
2022-04,56
2022-05,48
2022-06,34
2022-07,36
2022-08,45
2022-09,68
2022-10,49
2022-11,47
2022-12,38
2023-01,41
2023-02,56
2023-03,52
2023-04,56
2023-05,51
2023-06,52
2023-07,39
2023-08,42
2023-09,50
2023-10,56
