Category: All categories

Month,carbon tax: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,9
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,9
2004-11,8
2004-12,5
2005-01,12
2005-02,10
2005-03,9
2005-04,6
2005-05,12
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,17
2005-11,4
2005-12,6
2006-01,0
2006-02,9
2006-03,3
2006-04,8
2006-05,2
2006-06,11
2006-07,9
2006-08,10
2006-09,0
2006-10,3
2006-11,10
2006-12,9
2007-01,12
2007-02,31
2007-03,17
2007-04,26
2007-05,14
2007-06,15
2007-07,23
2007-08,14
2007-09,16
2007-10,25
2007-11,30
2007-12,37
2008-01,25
2008-02,36
2008-03,21
2008-04,36
2008-05,28
2008-06,41
2008-07,32
2008-08,16
2008-09,22
2008-10,28
2008-11,36
2008-12,22
2009-01,33
2009-02,36
2009-03,44
2009-04,48
2009-05,30
2009-06,44
2009-07,34
2009-08,18
2009-09,26
2009-10,30
2009-11,37
2009-12,39
2010-01,23
2010-02,20
2010-03,22
2010-04,27
2010-05,20
2010-06,23
2010-07,15
2010-08,17
2010-09,14
2010-10,15
2010-11,17
2010-12,19
2011-01,14
2011-02,19
2011-03,18
2011-04,20
2011-05,17
2011-06,14
2011-07,19
2011-08,13
2011-09,13
2011-10,21
2011-11,22
2011-12,16
2012-01,12
2012-02,16
2012-03,18
2012-04,18
2012-05,15
2012-06,12
2012-07,16
2012-08,14
2012-09,16
2012-10,15
2012-11,44
2012-12,23
2013-01,20
2013-02,24
2013-03,25
2013-04,28
2013-05,16
2013-06,19
2013-07,15
2013-08,11
2013-09,19
2013-10,18
2013-11,19
2013-12,18
2014-01,15
2014-02,18
2014-03,18
2014-04,22
2014-05,20
2014-06,17
2014-07,23
2014-08,11
2014-09,18
2014-10,20
2014-11,20
2014-12,21
2015-01,18
2015-02,19
2015-03,18
2015-04,21
2015-05,13
2015-06,16
2015-07,12
2015-08,15
2015-09,17
2015-10,15
2015-11,22
2015-12,25
2016-01,52
2016-02,100
2016-03,28
2016-04,29
2016-05,19
2016-06,16
2016-07,18
2016-08,19
2016-09,19
2016-10,37
2016-11,59
2016-12,30
2017-01,26
2017-02,48
2017-03,29
2017-04,35
2017-05,23
2017-06,22
2017-07,14
2017-08,12
2017-09,18
2017-10,21
2017-11,25
2017-12,19
2018-01,20
2018-02,32
2018-03,24
2018-04,25
2018-05,18
2018-06,15
2018-07,20
2018-08,15
2018-09,17
2018-10,40
2018-11,45
2018-12,40
2019-01,27
2019-02,33
2019-03,32
2019-04,40
2019-05,31
2019-06,27
2019-07,20
2019-08,16
2019-09,27
2019-10,31
2019-11,31
2019-12,24
2020-01,22
2020-02,34
2020-03,23
2020-04,21
2020-05,16
2020-06,15
2020-07,15
2020-08,14
2020-09,20
2020-10,25
2020-11,20
2020-12,18
2021-01,19
2021-02,22
2021-03,27
2021-04,26
2021-05,19
2021-06,16
2021-07,16
2021-08,13
2021-09,21
2021-10,25
2021-11,24
2021-12,17
2022-01,16
2022-02,25
2022-03,28
2022-04,29
2022-05,26
2022-06,18
2022-07,16
2022-08,18
2022-09,19
2022-10,21
2022-11,26
2022-12,24
2023-01,22
2023-02,25
2023-03,23
2023-04,29
2023-05,24
2023-06,19
2023-07,20
2023-08,19
2023-09,23
2023-10,30
