Scenario Name,Date,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate (USD/euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, index)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound)
Actual,1976 Q1,6.7,,,,,,3.4,9.4,299.6,6.8,14.9,1.916
Actual,1976 Q2,5.2,,,,,,2.4,9.9,298.0,-0.6,9.5,1.785
Actual,1976 Q3,3.4,,,,,,5.7,9.0,286.9,5.2,13.8,1.660
Actual,1976 Q4,6.6,,,,,,0.5,9.5,293.1,8.7,21.6,1.701
Actual,1977 Q1,1.7,,,,,,9.0,10.0,277.6,0.1,21.3,1.720
Actual,1977 Q2,0.5,,,,,,2.8,7.7,267.6,-2.8,14.0,1.720
Actual,1977 Q3,0.3,,,,,,2.8,4.5,263.7,2.7,9.5,1.748
Actual,1977 Q4,4.9,,,,,,5.5,3.6,240.0,7.0,8.3,1.917
Actual,1978 Q1,2.6,,,,,,7.8,3.1,229.9,3.6,6.3,1.862
Actual,1978 Q2,4.6,,,,,,3.9,5.0,203.7,4.7,6.9,1.861
Actual,1978 Q3,1.9,,,,,,5.3,6.0,189.2,5.6,9.3,1.975
Actual,1978 Q4,4.8,,,,,,5.9,1.0,194.3,3.7,9.8,2.042
Actual,1979 Q1,2.1,,,,,,6.1,0.6,209.6,-1.4,13.1,2.063
Actual,1979 Q2,6.6,,,,,,7.5,6.1,217.8,18.8,10.3,2.181
Actual,1979 Q3,2.1,,,,,,3.1,6.6,224.5,-8.6,32.1,2.203
Actual,1979 Q4,3.9,,,,,,1.7,6.5,240.3,4.2,14.4,2.219
Actual,1980 Q1,3.8,,,,,,4.6,9.8,250.0,-3.8,20.8,2.160
Actual,1980 Q2,-1.9,,,,,,-2.9,9.5,219.9,-7.7,19.5,2.356
Actual,1980 Q3,-0.2,,,,,,8.7,6.6,210.9,-0.4,11.0,2.387
Actual,1980 Q4,0.2,,,,,,8.6,4.5,203.1,-4.3,10.0,2.389
Actual,1981 Q1,0.4,,,,,,3.0,5.5,211.3,-0.2,10.8,2.233
Actual,1981 Q2,1.2,,,,,,3.9,3.5,226.9,0.9,15.3,1.930
Actual,1981 Q3,1.1,,,,,,1.5,3.1,232.3,4.4,9.2,1.803
Actual,1981 Q4,0.9,,,,,,2.2,4.0,219.8,0.5,12.2,1.915
