mktrf,smb,hml,rf,umd,dateff
-0.021000,0.043800,0.042500,0.00010,-0.030500,2020-10-30
0.124700,0.058000,0.020900,0.00010,-0.124300,2020-11-30
0.046300,0.048900,-0.015100,0.00010,-0.023200,2020-12-31
-0.000300,0.073600,0.030100,0.00010,0.045000,2021-01-29
0.027800,0.020500,0.071500,0.00000,-0.078900,2021-02-26
0.030800,-0.023700,0.073900,0.00000,-0.061400,2021-03-31
0.049300,-0.031900,-0.009500,0.00000,0.011600,2021-04-30
0.002900,-0.002500,0.070900,0.00000,0.008800,2021-05-28
0.027500,0.016800,-0.078700,0.00000,0.022000,2021-06-30
0.012700,-0.039700,-0.017800,0.00000,-0.022800,2021-07-30
0.029100,-0.004200,-0.001500,0.00000,0.024500,2021-08-31
-0.043700,0.007100,0.050800,0.00000,0.014900,2021-09-30
0.066500,-0.023500,-0.004900,0.00000,0.031900,2021-10-29
-0.015500,-0.013200,-0.004500,0.00000,0.008800,2021-11-30
0.031000,-0.016700,0.032600,0.00010,-0.026000,2021-12-31
-0.062500,-0.059400,0.127500,0.00000,-0.026000,2022-01-31
-0.022900,0.021900,0.030800,0.00000,0.017600,2022-02-28
0.030500,-0.016100,-0.018100,0.00010,0.030100,2022-03-31
-0.094600,-0.013900,0.061700,0.00010,0.048700,2022-04-29
-0.003400,-0.018300,0.083900,0.00030,0.024300,2022-05-31
-0.084300,0.021000,-0.059700,0.00060,0.007500,2022-06-30
0.095700,0.028100,-0.040500,0.00080,-0.039500,2022-07-29
-0.037700,0.014000,0.002900,0.00190,0.020400,2022-08-31
-0.093500,-0.008100,0.000500,0.00190,0.035100,2022-09-30
0.078300,0.000600,0.080100,0.00230,0.039600,2022-10-31
0.046000,-0.035200,0.013800,0.00290,-0.019800,2022-11-30
-0.064100,-0.006900,0.013700,0.00330,0.045500,2022-12-30
0.066500,0.050100,-0.040100,0.00350,-0.160100,2023-01-31
-0.025800,0.011700,-0.008100,0.00340,0.001500,2023-02-28
0.025100,-0.055100,-0.088500,0.00360,-0.024700,2023-03-31
0.006100,-0.033500,-0.000400,0.00350,0.016200,2023-04-28
0.003500,0.016100,-0.077200,0.00360,-0.006300,2023-05-31
0.064600,0.015400,-0.002600,0.00400,-0.023700,2023-06-30
0.032100,0.020800,0.041100,0.00450,-0.039800,2023-07-31
-0.023900,-0.031600,-0.010600,0.00450,0.037700,2023-08-31
